NAME;FATHER;MOTHER;SEX;POPULARITY
Acis;Pan;Symaethis;M;1520000
Acrisius;;;M;28400
Aether;Erebus;Nyx;U;1850000
Aethra;;;F;108000
Agave;Nereus;Doris;F;4460000
Agenor;Poseidon;;M;939000
Alcmene;;;F;46700
Ambrosia;Atlas;Aethra;F;2860000
Amphitrite;Nereus;Doris;F;612000
Aphrodite;Zeus;Dione;F;5330000
Apollo;Zeus;Leto;M;31700000
Ares;Zeus;Hera;M;14600000
Ariadne;Minos;Pasiphae;F;2040000
Arion;Poseidon;Demeter;U;2750000
Artemis;Zeus;Leto;M;7910000
Atlas;Iapetus;Clymene;M;64800000
Bia;Pallas;Styx;U;18800000
Calliope;Zeus;Mnemnosyne;F;1280000
Castor;Tyndareus;Leda;M;8690000
Cer;Erebus;Nyx;F;20800000
Chaos;;;F;42800000
Charon;Erebus;Styx;M;1460000
Circe;Helios;Perse;F;1150000
Clio;Zeus;Mnemnosyne;F;23800000
Clymene;Nereus;Doris;F;62900
Coeus;Uranus;Gaea;M;104000
Creus;;;M;852000
Cronos;Uranus;Gaea;M;1510000
Cyrene;;;F;423000
Danae;Acrisius;;F;1880000
Demeter;Cronos;Rhea;F;2500000
Dike;Zeus;Themis;F;4370000
Diomedes;Ares;Cyrene;M;1210000
Dione;Uranus;Gaea;F;2820000
Dionysus;Zeus;Semele;M;1100000
Doris;Oceanus;Tethys;F;22900000
Dryope;;;F;20200
Electra;Oceanus;Tethys;F;11200000
Eos;Hyperion;Thea;F;63600000
Erebus;;Chaos;M;504000
Eris;Cronos;Nyx;F;3280000
Eros;;Chaos;M;22800000
Erythea;Atlas;Aethra;F;1130000
Eudora;Atlas;Aethra;F;1890000
Europa;Agenor;Telephassa;F;196000000
Eurybia;Pontus;;F;43500
Gaea;;Chaos;F;638000
Galatea;Nereus;Doris;F;1060000
Hades;Cronos;Rhea;M;5210000
Harmonia;Ares;Aphrodite;F;6340000
Hebe;Zeus;Hera;F;4140000
Helen;Zeus;Leda;F;62700000
Helios;Hyperion;Thea;M;7260000
Hemera;Erebus;Nyx;F;1230000
Hera;Cronos;Rhea;F;7820000
Heracles;Zeus;Alcmene;M;1920000
Hermes;Zeus;Maia;M;39400000
Hermione;Menelaus;Helen;F;5210000
Hesperia;Atlas;Aethra;F;2560000
Hestia;Cronos;Rhea;F;1190000
Hyperion;Uranus;Gaea;M;5840000
Iapetus;Uranus;Gaea;M;149000
Inachus;;;M;54500
Io;Inachus;Melia;F;149000000
Iris;Thaumas;Electra;F;55000000
Latramys;Dionysus;Ariadne;M;3210000
Leda;Thestius;;F;6450000
Leto;Coeus;Phoebe;F;13300000
Maia;Atlas;Pleione;F;21700000
Melia;Uranus;Rhea;F;5670000
Menelaus;;;M;287000
Metis;Oceanus;Tethys;U;2600000
Minos;Zeus;Europa;M;1810000
Mnemnosyne;Uranus;Gaea;F;382000
Moros;Erebus;Nyx;U;1620000
Nemesis;Erebus;Nyx;F;9930000
Nereus;Pontus;Gaea;M;389000
Nike;Pallas;Styx;F;178000000
Nyx;;Chaos;F;8790000
Oceanus;Uranus;Gaea;M;1220000
Oeagrus;;;M;3670
Orpheus;Oeagrus;Calliope;M;2770000
Pallas;Creus;Eurybia;M;3990000
Pan;Hermes;Dryope;M;153000000
Pasiphae;Helios;Perse;F;140000
Perse;;;F;6580000
Persephone;Zeus;Demeter;F;1440000
Perses;Helios;Perse;F;1250000
Perseus;Zeus;Danae;M;2050000
Phoebe;Uranus;Gaea;F;9690000
Phoenix;Agenor;Telephassa;M;110000000
Phyto;Atlas;Aethra;F;2920000
Pleione;Oceanus;Tethys;F;210000
Pontus;;Gaea;M;1980000
Poseidon;Cronos;Rhea;M;6180000
Prometheus;Iapetus;Gaea;M;3930000
Proto;Nereus;Doris;F;20100000
Remus;Ares;Rhea;M;4110000
Rhea;Uranus;Gaea;F;6560000
Romulus;Ares;Rhea;M;16300000
Selene;Hyperion;Thea;F;4210000
Semele;;Harmonia;F;298000
Styx;Oceanus;Tethys;F;2620000
Symaethis;;;F;2410
Telephassa;;;F;3990
Tethys;Uranus;Gaea;F;426000
Thalia;Zeus;Mnemnosyne;F;8600000
Thanatos;Erebus;Nyx;M;1080000
Thaumas;Pontus;Gaea;M;28400
Thea;Uranus;Gaea;F;13800000
Themis;Uranus;Gaea;F;1250000
Thestius;;;M;8680
Triton;Poseidon;Amphitrite;M;13200000
Tyndareus;;;M;24000
Urania;Zeus;Mnemnosyne;F;1350000
Uranus;;Gaea;M;2740000
Zeus;Cronos;Rhea;M;16200000
